created_at,user,location,coordinates,text,retweet_count,favorite_count,id,nama_kota,avg_word,word_count
2021-08-14 14:53:43,restrotangkot,"Jl. Daan Mogot No.5, Tangerang",,"jajaran,polsek,ciledug,polres,metro,tangerang,kota,pimpinan,kapolsek,ciledug,kompol,poltar,aksi,lumban,gaol,htps,atau,atau,coatau,mgbutiga,rxmqh",0,0,ID3172,JAKARTA TIMUR,5.904761904761905,21
2021-08-14 14:53:42,dryxanne,Jakarta,,"habis,tu,kebangun,lsg,brasa,lrga,hanya,mimpi,segitu,efek,covid,dan,pandemi,sampai,kebawa,mimpi,di,mimpi,pun,cemas,htps,atau,atau,coatau,ktsatu,fnsztzd",0,0,ID3172,JAKARTA TIMUR,4.8076923076923075,26
2021-08-14 14:53:24,bukanlucinta,"Jakarta, Indonesia.",,"di,bertanyarl,lho,bersyukur,masih,bisa,dapat,astra,berarti,kesehatan,ibu,bagus,karena,pasti,sudah,diaprove,sama,dok,htps,atau,atau,coatau,lujnztiga,msbd",0,0,ID3172,JAKARTA TIMUR,5.375,24
2021-08-14 14:53:09,mporatne,"DKI Jakarta, Indonesia",,"di,trianadewi,tadi,dipegangin,pak,bupati,biar,tidak,takut,di,vaksin",0,0,ID3172,JAKARTA TIMUR,5.181818181818182,11
2021-08-14 14:52:20,whopsy_opsy,Jakarta,,"buset,habis,vaksin,aku,makan,melulu",0,0,ID3172,JAKARTA TIMUR,5.0,6
2021-08-14 14:51:43,agus_harimin,bekasi,,"kartu,vaksin,fre,desain,nol,katau,buah,satu,kartu,sisi,gambar,pemesanan,whatsapp,nol,satu,satu,nol,nol,kartuvaksin,sertifikatvaksin,htps,atau,atau,coatau,qhqenam,ajempat,ock",0,0,ID3172,JAKARTA TIMUR,5.444444444444445,27
2021-08-14 14:51:29,PuntenMauJualan,"Jakarta Utara, DKI Jakarta",,"di,masa,pandemi,seperti,sekarang,kartu,vaksin,sudah,jadi,barang,wajib,seperti,ini,yang,harus,dimiliki,masyarakat,htps,atau,atau,coatau,ohqsembilan,ntanpx",0,0,ID3172,JAKARTA TIMUR,5.695652173913044,23
2021-08-14 14:50:46,contactap2,"Tangerang, Indonesia",,"di,ranranseratus,delapan,puluh,delapan,perihal,kuota,vaksinasi,terbatas,kami,imbau,untuk,datang,tiga,jam,sebelum,keberangkatan,untuk,menghindari,htps,atau,atau,coatau,kcenam,uwidelapan,aduh",0,0,ID3172,JAKARTA TIMUR,6.3076923076923075,26
2021-08-14 14:50:34,contactap2,"Tangerang, Indonesia",,"di,ranranseratus,delapan,puluh,delapan,perihal,registrasi,pendaftaran,dapat,datang,langsung,ke,lokasi,dan,menunjukan,tiket,penerbangan,ktpatau,ke,htps,atau,atau,coatau,sembilan,isatu,rsembilan,csatu",0,0,ID3172,JAKARTA TIMUR,6.37037037037037,27
2021-08-14 14:50:00,mediaindonesia,Jakarta - Indonesia,,"untuk,vaksin,sinovac,dan,sinopharm,yang,digunakan,sejumlah,negara,kementerian,kesehatan,arab,saudi,masih,melakuka,htps,atau,atau,coatau,iedgtxtdxenam",1,1,ID3172,JAKARTA TIMUR,6.5,20
2021-08-14 14:48:19,contactap2,"Tangerang, Indonesia",,"di,ranranseratus,delapan,puluh,delapan,halo,kak,di,ranranseratus,delapan,puluh,delapan,dapat,kami,informasikan,fasilitas,vaksin,di,bandara,sultan,sayarif,kasim,tersedia,htps,atau,atau,coatau,sembilan,ivtujuh,ngdhwq",0,0,ID3172,JAKARTA TIMUR,6.166666666666667,30
2021-08-14 14:48:17,antogrifor123,"Jakarta Timur, DKI Jakarta",,"di,boedinol,nol,tertawa,belum,selesai,sudah,ke,twet,ternyata,mau,ta,kalau,semisal,dia,warga,matraman,vaksin,di,kecamata,htps,atau,atau,coatau,tu,tuyenam,renam,uzw",0,0,ID3172,JAKARTA TIMUR,4.821428571428571,28
2021-08-14 14:48:11,JokoLipService,Jakarta,,"suntik,vaksin,di,beberapa,negara,htps,atau,atau,coatau,olima,puluh,tresatu,satu",0,0,ID3172,JAKARTA TIMUR,5.153846153846154,13
2021-08-14 14:48:06,a_merrrrr,"Tangerang, Indonesia",,"di,ditelenmuntah,ditelenmuntah,salah,ini,aku,saranin,tempat,vaksin,sekolah,kristen,plng,plng,jadi,ketuker,agamanya",0,0,ID3172,JAKARTA TIMUR,6.1875,16
2021-08-14 14:47:59,kulitmanggah,"DKI Jakarta, Indonesia",,"kenapa,iya,habis,vaksin,tangan,pda,sakit,pegel,sedih",0,0,ID3172,JAKARTA TIMUR,4.888888888888889,9
2021-08-14 14:47:51,SharonLee94,"Jakarta Selatan, DKI Jakarta",,"di,vhetiga,ribu,sepuluh,astra,juga,iya,ngomong-ngomong,harus,kak,di,lad,vie,juga,vaksin,tanggal,satu,ini,dong,iya,kan,kemarin,barengan,sama,aku,vaksin,tertawa",0,0,ID3172,JAKARTA TIMUR,4.888888888888889,27
2021-08-14 14:46:48,achmad_enjoy,"DKI Jakarta, Indonesia",,"di,asifasafitri,di,tegalfes,di,byb,uni,yang,tidak,boleh,habis,vaksin,angkat,barbel",0,0,ID3172,JAKARTA TIMUR,4.928571428571429,14
2021-08-14 14:46:44,dhianisasa,"Jakarta Barat, DKI Jakarta",,"di,jaejieju,di,bertanyarl,bantu,jawab,iya,aku,pernah,konsul,sama,dokter,kata,vaksin,satu,dan,vaksin,harus,sama,cmiw",0,0,ID3172,JAKARTA TIMUR,4.8,20
2021-08-14 14:46:17,ahmadafifn_,"Jakarta, Indonesia ",,"waktu,berlalu,dulu,orang,orang,dapat,kabar,tentang,kerabat,yang,terinfeksi,covid,langsung,mendadak,panik,sekarang,tertawa,htps,atau,atau,coatau,jtcmquetpe",0,0,ID3172,JAKARTA TIMUR,6.045454545454546,22
2021-08-14 14:45:42,halodenn,"Bekasi, Jawa Barat",,"di,bertanyarl,monmaf,iya,kak,orang,medis,tidak,sembarangan,kasih,vaksin,kalau,memang,benar,benar,keadan,tidak,mendukung,pasti,ibu,htps,atau,atau,coatau,moeaokhwdi",0,0,ID3172,JAKARTA TIMUR,5.52,25
2021-08-14 14:45:32,kompascom,Jakarta,,"gubernur,dki,jakarta,anies,baswedan,menjabarkan,penurunan,signifikan,angka,kematian,pasien,covid,sembilan,belas,periode,juli,hai,htps,atau,atau,coatau,xjgdmztujuh,ctujuh",0,4,ID3172,JAKARTA TIMUR,6.391304347826087,23
2021-08-14 14:45:03,AyoGerakBareng,"DKI Jakarta, Indonesia",,"bagi,teman,teman,yang,membutuhkan,layanan,ambulance,medis,untuk,evakuasi,pasien,covidatau,non,covid,atau,layanan,ant,htps,atau,atau,coatau,nol,uochxsatu,msembilan",0,1,ID3172,JAKARTA TIMUR,5.791666666666667,24
2021-08-14 14:45:00,inewsdotid,"Jakarta, Indonesia",,"ratusan,narapidana,penghuni,lembaga,pemasyarakatan,slawi,positif,covid,sembilan,belas,tanpa,gejala,klinis,htps,atau,atau,coatau,owizynvaoq",0,0,ID3172,JAKARTA TIMUR,6.722222222222222,18
2021-08-14 14:45:00,GesuriID,"Jakarta, Indonesia",,"bob,dukung,kebijakan,masuk,mal,tunjukan,sertifikat,vaksin,htps,atau,atau,coatau,nlima,cekfenam,nlima,cekfenam,fr,pdiperjuangan",0,0,ID3172,JAKARTA TIMUR,6.055555555555555,18
2021-08-14 14:44:56,Bendhardyonas,"Lenteng Agung, Jakarta","{'type': 'Point', 'coordinates': [106.80644, -6.25395]}","vaksin,ke,done,vaksin,antibod,instalike,likempat,likes,likeforlike,di,smas,pangudi,luhur,jakarta,htps,atau,atau,coatau,hqiajaonol,sama",0,0,ID3172,JAKARTA TIMUR,5.75,20
2021-08-14 14:44:44,AhmadNorMaulana,"Jakarta Utara, DKI Jakarta",,"warga,suku,badu,sempat,positif,covid,sembilan,belas,usai,melahirkan,htps,atau,atau,coatau,qmrenam,vhueg,htps,atau,atau,coatau,qfcntiga,dcob",0,0,ID3172,JAKARTA TIMUR,5.363636363636363,22
2021-08-14 14:44:24,detikcom,"Jakarta, Indonesia",,"anies,mengatakan,kemenangan,melawan,corona,sudah,di,depan,mata,namun,dia,meminta,semua,pihak,tidak,terlena,dengan,htps,atau,atau,coatau,mtujuh,sukbqtsembilan",6,19,ID3172,JAKARTA TIMUR,5.869565217391305,23
2021-08-14 14:43:45,komang_yudi,Jakarta,,"di,corona,kafirnw,di,agama,nusantara,terduga,teroris,memiliki,agama,kan",0,0,ID3172,JAKARTA TIMUR,5.545454545454546,11
2021-08-14 14:43:00,Kota_Tangerang,Kota Tangerang,,"tangerang,empat,belas,agustus,nol,nol,kami,merujuk,pada,data,website,covidsembilan,belas,resmi,pemerintah,kota,tangerang,berdasarkan,data,htps,atau,atau,coatau,omtiga,pfbnol",0,0,ID3172,JAKARTA TIMUR,5.96,25
2021-08-14 14:42:59,SINDOnews,"Jakarta Pusat, DKI Jakarta",,"angota,komisi,xi,apresiasi,antusiasme,warga,kendal,sukseskan,vaksin,indonesia,bangkit,sindonews,htps,atau,atau,coatau,lima,ymnuzempat,puluh,sembilan",0,2,ID3172,JAKARTA TIMUR,6.45,20
2021-08-14 14:42:34,luckykoya,"DKI Jakarta, Indonesia",,"di,bertanyarl,emak,bapak,saya,saja,mau,vaksin,ini,pas,saya,masih,tidak,setuju,buat,vaksin,saya,sudah,mikirin,harus,mempersiapkan,htps,atau,atau,coatau,paeotjlztujuh,kamu",0,0,ID3172,JAKARTA TIMUR,5.296296296296297,27
2021-08-14 14:42:28,contactap2,"Tangerang, Indonesia",,"di,tamvandangbrani,bagi,penumpang,yang,belum,melakukan,vaksin,tetap,dapat,melakukan,penerbangan,dengan,melampirkan,htps,atau,atau,coatau,rtujuh,bwdswij",0,0,ID3172,JAKARTA TIMUR,6.6,20
2021-08-14 14:42:27,mporatne,"DKI Jakarta, Indonesia",,"di,monicang,monicang,unik,ini,kata,arisan,covid,tetap,semangat,mematuhi,prokes",0,0,ID3172,JAKARTA TIMUR,5.583333333333333,12
2021-08-14 14:42:20,contactap2,"Tangerang, Indonesia",,"di,tamvandangbrani,halo,kak,dapat,kami,informasikan,untuk,sat,ini,fasilitas,vaksin,di,bandara,tjilik,riwut,tidak,ter,htps,atau,atau,coatau,vxijyqsxnol",0,0,ID3172,JAKARTA TIMUR,5.565217391304348,23
2021-08-14 14:41:38,jalan_pedang,Jakarta,,"di,cobehsembilan,anjing,jejangan,mau,beli,pulsa,ke,konter,rumahan,pun,harus,pakai,sertifikat,vaksin,okelah,kalai,begitu",0,0,ID3172,JAKARTA TIMUR,5.666666666666667,18
